,Company1,Company2,Company3,Company4,Company5,Company6,Company7,Company8,Company9,Company10,Company11,Company12,Company13,Company14,Company15,Company16,Company17,Company18,Company19,Company20,Company21,Company22,Company23,Company24,Company25
Property,?,?,?,?,26.58,29.06,57.22,43.32,181.3,124.43,24.29,44.67,17.63,42.33,44.65,46.2,61.35,4.25,135.67,59.86,51.05,83.31,92.09,42.36,105.15
,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values
112,425.23,34.95,100.74,58.52,8.22,46.91,92.01,108.93,77.74,40.93,27.32,24.85,144.66,94.13,14.18,42.9,49.03,433.68,32.25,98.41,56.39,9.25,58.5,88.63,96.3
113,425.52,34.92,101.61,57.92,8.28,47.92,92.69,108.5,78.43,41.03,27.31,24.73,144.97,94.73,14.26,43.5,49.49,442.64,32.53,95.94,57.4,9.41,60.41,88.63,97.09
114,429.5,35.05,101.59,57.49,8.38,47.57,92.45,107.74,78.82,41.39,27.06,24.79,144.64,92.7,14.34,44,48.99,448.47,32.28,95.26,57.44,9.5,59.5,88.53,96.64
115,430.01,35.07,102.41,58.2,8.37,47.34,91.35,107.08,78.84,41.48,26.79,24.73,143.99,92.84,13.95,42.45,48.7,454.07,32.48,95.74,57.35,9.48,60.17,88.77,97.78
116,423.75,35.07,102.34,57.97,8.27,47.28,91.2,104.8,77.89,40.59,26.54,24.62,142.76,92.31,13.8,43,48.01,454.94,32.15,95.06,57.06,9.46,60.73,87.16,96.95
117,416.76,35.2,101.36,57.78,8.21,47.16,90.72,104.42,77.79,40.21,26.74,24.61,142.91,91.06,13.61,41.36,48.04,453.99,32.24,95.34,57.4,9.48,60.55,86.5,96.54
118,419.99,35.43,101.64,57.52,8.27,47.68,90.71,103.42,78.25,40.6,26.75,24.75,142.08,89.78,13.74,41.13,47.51,450.92,32.1,95.25,57.04,9.42,60.32,87.42,97.2
119,419.48,35.5,101.39,57.91,8.18,48.14,91.29,102.42,78.36,40.95,26.71,24.64,142.27,90.57,13.77,40,47.6,441.19,31.8,94.24,56.1,9.45,60.39,85.63,96.32
120,415.18,35.29,101.25,57.52,8.22,48.77,90.86,102.9,77.8,40.45,26.64,24.71,142.11,91.14,13.51,39.83,47.19,453.13,32.25,95.11,56.73,9.95,61.82,84.63,96.63
121,403.4,35.37,101.27,56.91,8.25,48.87,90.95,103.28,77.51,40.15,26.69,24.85,141.5,89.69,13.38,39.89,47.35,447.84,31.99,95.24,56.24,10.09,61.84,84.37,97.21
